DATE,UNRATE,REAINTRATREARAT10Y,CPILFESL,COMPUTSA,WPUSI012011,GDPPC,CSUSHPISA
01-01-2000,4,3.41105112,179.3,1574,144.1,45983,100.551
01-02-2000,4.1,3.51334339,179.4,1677,144.7,45983,101.339
01-03-2000,4,3.44034736,180,1704,145.4,45983,102.126
01-04-2000,3.8,3.20296665,180.3,1610,145.6,46704,102.922
01-05-2000,4,3.3605311,180.7,1682,144.9,46704,103.677
01-06-2000,4,3.1278929,181.1,1530,145,46704,104.424
01-07-2000,4,3.06235485,181.5,1495,144.4,46624,105.053
01-08-2000,4.1,3.04561328,181.9,1573,143.7,46624,105.768
01-09-2000,3.9,2.88599618,182.3,1528,143.4,46624,106.538
01-10-2000,3.9,2.87662559,182.6,1513,143.3,46777,107.382
01-11-2000,3.9,2.83313793,183.1,1539,142.7,46777,108.301
01-12-2000,3.9,2.63921042,183.3,1521,142.5,46777,109.14
01-01-2001,4.2,2.25143294,183.9,1456,142,46519,109.846
01-02-2001,4.2,2.26701398,184.4,1536,142.4,46519,110.499
01-03-2001,4.3,2.26729473,184.7,1470,142.4,46519,111.108
01-04-2001,4.4,2.22098391,185.1,1574,142.5,46698,111.651
01-05-2001,4.3,2.43341797,185.3,1497,144.2,46698,112.163
01-06-2001,4.5,2.52645602,186,1654,144.3,46698,112.796
01-07-2001,4.6,2.52836744,186.4,1582,143.4,46390,113.491
01-08-2001,4.9,2.33436142,186.7,1615,143.3,46390,114.167
01-09-2001,5,2.17776797,187.1,1551,143,46390,114.811
01-10-2001,5.3,1.98693245,187.4,1599,142.3,46400,115.309
01-11-2001,5.5,1.81476553,188.1,1555,142.1,46400,115.857
01-12-2001,5.7,2.0405763,188.4,1693,141.7,46400,116.456
01-01-2002,5.7,2.52349996,188.7,1632,142,46683,117.143
01-02-2002,5.7,2.40007343,189.1,1671,142.2,46683,117.845
01-03-2002,5.7,2.42129018,189.2,1559,143.2,46683,118.686
01-04-2002,5.9,2.70112632,189.7,1625,143.5,46866,119.61
01-05-2002,5.8,2.35054993,190,1705,143.8,46866,120.724
01-06-2002,5.8,2.31986391,190.2,1589,144.3,46866,121.812
01-07-2002,5.8,2.14192855,190.5,1615,144.7,46936,122.887
01-08-2002,5.7,1.74226259,191.1,1722,145.1,46936,123.83
01-09-2002,5.7,1.44610825,191.3,1641,145.4,46936,124.779
01-10-2002,5.7,1.26869564,191.5,1601,145,46883,125.734
01-11-2002,5.9,1.39558681,191.9,1718,144.6,46883,126.669
01-12-2002,6,1.69225366,192.1,1671,144.3,46883,127.623
01-01-2003,5.8,1.48820174,192.4,1654,144.4,47027,128.46
01-02-2003,5.9,1.466379,192.5,1688,145.2,47027,129.355
01-03-2003,5.9,1.22359095,192.5,1638,145.2,47027,130.147
01-04-2003,6,1.30961847,192.5,1662,145.9,47342,130.884
01-05-2003,6.1,1.37072098,192.9,1733,145.8,47342,131.734
01-06-2003,6.3,0.90511574,193,1641,146.1,47342,132.649
01-07-2003,6.2,1.12868896,193.4,1680,147,48012,133.777
01-08-2003,6.1,1.75170446,193.6,1570,147.2,48012,134.968
01-09-2003,6.1,1.89723825,193.7,1719,149,48012,136.294
01-10-2003,6,1.38081936,194,1728,149.6,48450,137.532
01-11-2003,5.8,1.71390165,194,1692,150.2,48450,138.793
01-12-2003,5.7,1.71357266,194.2,1716,149.7,48450,140.179
01-01-2004,5.7,1.70195436,194.6,1709,150,48633,141.646
01-02-2004,5.6,1.57158074,194.9,1718,153.4,48633,143.191
01-03-2004,5.8,1.47016466,195.5,1794,156.5,48633,145.059
01-04-2004,5.6,1.35814941,195.9,1938,160.1,48905,146.592
01-05-2004,5.6,1.88324516,196.2,1893,162.7,48905,148.185
01-06-2004,5.6,1.94657611,196.6,1857,162,48905,149.85
01-07-2004,5.5,1.93379862,196.8,1881,162.2,49243,151.338
01-08-2004,5.4,1.85580269,196.9,1911,165.9,49243,152.634
01-09-2004,5.4,1.48469164,197.5,1796,167.2,49243,154.179
01-10-2004,5.5,1.6871063,197.9,1839,165.9,49623,155.75
01-11-2004,5.4,1.60768876,198.3,1758,165.5,49623,157.527
01-12-2004,5.4,1.90953662,198.6,1921,166.3,49623,159.33
01-01-2005,5.3,1.7792759,199,1892,168.6,50068,161.288
01-02-2005,5.4,1.81315912,199.4,1908,170.4,50068,163.344
01-03-2005,5.2,1.97934111,200.1,1787,170,50068,165.812
01-04-2005,5.2,2.02052684,200.2,1927,170,50204,167.501
01-05-2005,5.1,1.78986568,200.5,2103,168.1,50204,169.35
01-06-2005,5,1.66688811,200.6,1965,167.8,50204,171.19
01-07-2005,5,1.82002108,200.9,1886,167.2,50470,172.859
01-08-2005,4.9,2.00821677,201.1,1952,165.9,50470,174.443
01-09-2005,5,1.73569017,201.3,1922,168.9,50470,176.437
01-10-2005,5,1.96704484,202,1962,171.6,50629,178.027
01-11-2005,5,2.07568901,202.5,1907,172.7,50629,179.68
01-12-2005,4.9,2.01834727,202.8,1941,173.5,50629,180.91
01-01-2006,4.7,2.06484172,203.2,2036,177.2,51200,182.32
01-02-2006,4.8,2.20441278,203.6,2048,177.7,51200,183.287
01-03-2006,4.7,2.38362088,204.3,2245,178.3,51200,184.364
01-04-2006,4.7,2.35839303,204.8,2071,179,51210,184.329
01-05-2006,4.6,2.40637015,205.4,1897,179.9,51210,184.156
01-06-2006,4.6,2.45080986,205.9,2050,180.7,51210,183.507
01-07-2006,4.7,2.49634953,206.3,1934,182.3,51155,183.067
01-08-2006,4.7,2.2982861,206.8,1877,182.6,51155,182.596
01-09-2006,4.5,2.20605719,207.2,2011,183.3,51155,182.798
01-10-2006,4.4,2.21206207,207.6,1918,182.3,51455,183.198
01-11-2006,4.5,2.1998854,207.8,1893,179.8,51455,183.609
01-12-2006,4.4,2.12213778,208.1,1888,179.8,51455,184.138
01-01-2007,4.6,2.14807579,208.6,1822,181.1,51492,184.516
01-02-2007,4.5,2.28715091,209.135,1640,181.5,51492,184.598
01-03-2007,4.4,2.0249864,209.418,1623,182.5,51492,184.149
01-04-2007,4.5,2.07748685,209.747,1539,183.7,51705,183.01
01-05-2007,4.4,2.0318442,210.058,1536,184,51705,181.6
01-06-2007,4.6,2.24630973,210.392,1481,184,51705,180.254
01-07-2007,4.7,2.37357342,210.773,1534,184.2,51882,179.111
01-08-2007,4.6,2.13388077,211.119,1512,183.9,51882,178.117
01-09-2007,4.7,1.94622258,211.554,1356,183.4,51882,177.558
01-10-2007,4.7,1.98911422,212.077,1405,183,52066,176.624
01-11-2007,4.7,1.82624712,212.66,1390,183.3,52066,175.147
01-12-2007,5,1.38696881,213.168,1328,183.5,52066,174.342
01-01-2008,5,1.39949068,213.771,1331,184.3,51740,173.132
01-02-2008,4.9,1.11112286,213.939,1274,185.7,51740,171.54
01-03-2008,5.1,1.02522008,214.42,1195,187.8,51740,170.053
01-04-2008,5,1.06289422,214.56,1022,190.9,51923,168.338
01-05-2008,5.4,1.40051629,214.936,1142,195.8,51923,166.659
